label,asin,status,mustHave,priority,audience,ageMin,ageMax,tags,countryCodes,imageUrl
"chaussures randonnÃ©e prix 2 - AntidÃ©rapantes, Respirantes femme",B0DNTPFND6,active,false,3,adult,0,120,"chaussures,randonnÃ©e,antidÃ©rapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor",,
"chaussures randonnÃ©e prix 3 - AntidÃ©rapantes, Respirantes femme",B06VXVRR8R,active,false,3,adult,0,120,"chaussures,randonnÃ©e,antidÃ©rapantes,respirantes,genericbrand,sacs,sport,trekking,outdoor",,
Chaussure rando enfant mixte,B0CB4CM4BV,active,false,3,all,0,120,"chaussure,rando,enfant,mixte,genericbrand,chaussures,sacs,sport",,
Claquettes mixte,B0CB9DJJVW,active,false,3,all,0,120,"claquettes,mixte,genericbrand,sports,loisirs,accessoires",,
Claquettes enfant,B0BDYN7ZQH,active,false,3,child,3,17,"claquettes,enfant,genericbrand,sports,loisirs,accessoires",,
Lunettes de soleil UV400 mixte,B0CQYRTFGS,active,false,3,all,0,120,"lunettes,soleil,mixte,genericbrand,sports,loisirs,accessoires,uv400,protection-solaire",,
CrÃ¨me solaire SPF 50+,B08BTD7RFV,active,false,3,all,0,120,"crÃ¨me,solaire,spf,genericbrand,sports,loisirs,accessoires,protection-solaire,soleil,protection",,
Baume Ã  lÃ¨vres hydratant,B006DUPURO,active,false,3,all,0,120,"baume,lÃ¨vres,hydratant,genericbrand,sports,loisirs,accessoires,soin,peau",,
Spray anti-moustique,B088RTJXHS,active,false,3,all,0,120,"spray,anti,moustique,genericbrand,sports,loisirs,accessoires,anti-moustique,rÃ©pulsif,insectes",,
Adaptateur de prise universel,B0B2DRC76L,active,false,3,all,0,120,"adaptateur,prise,universel,genericbrand,sports,loisirs,accessoires",,
"Lampe frontale - LED, Rechargeable USB",B01DNDMSLY,active,false,3,all,0,120,"lampe,frontale,led,rechargeable,usb,genericbrand,sports,loisirs,accessoires,Ã©clairage,camping",,
Gourdes isothermes,B01MY09LEL,active,false,3,all,0,120,"gourdes,isothermes,genericbrand,sports,loisirs,accessoires,isotherme,tempÃ©rature",,
"Sac a dos randonnÃ©e - RÃ©sistant Ã  l'eau, LÃ©ger",B07T9P5Q23,active,false,3,all,0,120,"sac,dos,randonnÃ©e,rÃ©sistant,eau,lÃ©ger,genericbrand,bagages,sacs,trekking,outdoor",,
Mini ventilateur portatif,B0BRV61DPY,active,false,3,all,0,120,"mini,ventilateur,portatif,genericbrand,sports,loisirs,accessoires",,
brumisateur,B0C7QV2M6D,active,false,3,all,0,120,"brumisateur,genericbrand,sports,loisirs,accessoires",,
ThermomÃ¨tre digital,B0BTHB8GWJ,active,false,3,all,0,120,"thermomÃ¨tre,digital,genericbrand,sports,loisirs,accessoires",,
Batterie externe,NONE,active,false,3,all,0,120,"batterie,externe,genericbrand,sports,loisirs,accessoires",,
Trousse de secours,B0GDFCKCQH,active,true,1,all,0,120,"securite,sante,premiers-secours,trousse,indispensable",,https://drive.google.com/file/d/1HyuCN6yz8QVjv2ntuLFQqtOdIi3YCjzF/view?usp=drive_link
Doudoune femme prix 1,test,active,false,2,adult,16,120,"doudoune,froid,hiver,femme,thermique,polaire",,
Doudoune femme prix 2,test,active,false,3,adult,16,120,"doudoune,froid,hiver,femme,thermique,polaire",,
Doudoune enfant,test,active,false,2,child,0,15,"doudoune,froid,hiver,enfant,thermique",,
Sous-vêtements thermiques femme,test,active,false,1,adult,16,120,"thermique,froid,hiver,femme,sous-vetements,neige",,
Sous-vêtements thermiques enfant,test,active,false,1,child,4,15,"thermique,froid,hiver,enfant,sous-vetements,neige",,
Bonnet laine mixte,test,active,false,2,all,0,120,"bonnet,froid,hiver,laine,neige,accessoires-hiver",,
Gants hiver imperméables,test,active,false,2,all,4,120,"gants,froid,hiver,neige,impermeable,ski",,
Gants ski enfant,test,active,false,2,child,4,14,"gants,ski,froid,hiver,neige,enfant",,
Écharpe polaire mixte,test,active,false,3,all,0,120,"echarpe,froid,hiver,polaire,neige",,
Chaussettes thermiques laine,test,active,false,2,all,0,120,"chaussettes,thermique,froid,hiver,laine,neige",,
Bottes hiver imperméables homme,test,active,false,1,adult,16,120,"bottes,froid,hiver,neige,impermeable,homme,chaussures-hiver",,
Bottes hiver imperméables femme,test,active,false,1,adult,16,120,"bottes,froid,hiver,neige,impermeable,femme,chaussures-hiver",,
Bottes hiver enfant,test,active,false,1,child,0,15,"bottes,froid,hiver,neige,enfant,chaussures-hiver",,
Pantalon de ski homme,test,active,false,2,adult,16,120,"ski,pantalon,froid,hiver,neige,homme,glisse",,
Pantalon de ski femme,test,active,false,2,adult,16,120,"ski,pantalon,froid,hiver,neige,femme,glisse",,
Cagoule / tour de cou,test,active,false,3,all,4,120,"cagoule,froid,hiver,neige,protection-visage",,
Crampons chaussures glace,test,active,false,2,adult,16,120,"crampons,glace,froid,hiver,neige,securite,randonnee-hiver",,
Chaufferettes mains,test,active,false,3,all,0,120,"chaufferettes,froid,hiver,neige,confort-hiver",,
Crème solaire SPF50 visage,test,active,true,1,all,0,120,"soleil,chaleur,ete,protection-solaire,creme-solaire,tropical,plage",,
Crème solaire SPF50 corps,test,active,true,1,all,0,120,"soleil,chaleur,ete,protection-solaire,creme-solaire,tropical,plage",,
Crème solaire enfant SPF50+,test,active,true,1,child,0,15,"soleil,chaleur,ete,protection-solaire,creme-solaire,enfant",,
Chapeau anti-UV mixte,test,active,false,2,all,0,120,"chapeau,soleil,chaleur,ete,protection-solaire,bob",,
Short de bain homme,test,active,false,2,adult,16,120,"plage,mer,baignade,chaleur,ete,maillot,homme",,
Maillot de bain femme,test,active,false,2,adult,16,120,"plage,mer,baignade,chaleur,ete,maillot,femme",,
Maillot de bain enfant,test,active,false,2,child,0,15,"plage,mer,baignade,chaleur,ete,maillot,enfant",,
Robe légère femme,test,active,false,3,adult,16,120,"robe,chaleur,ete,leger,femme,tropical",,
Short cargo homme,test,active,false,3,adult,16,120,"short,chaleur,ete,leger,homme,randonnee",,
T-shirts respirants femme,test,active,false,2,adult,16,120,"shirts,respirant,chaleur,ete,femme,leger",,
Sandales légères homme,test,active,false,2,adult,16,120,"sandales,chaleur,ete,plage,leger,homme",,
Sandales légères femme,test,active,false,2,adult,16,120,"sandales,chaleur,ete,plage,leger,femme",,
Anti-moustique spray,test,active,true,1,all,0,120,"anti-moustique,tropical,chaleur,sante,protection,insectes","TH,MA,BR",
Anti-moustique bracelet enfant,test,active,false,2,child,0,15,"anti-moustique,tropical,enfant,sante,protection,insectes","TH,MA,BR",
Ventilateur portable USB,test,active,false,3,all,0,120,"chaleur,ete,confort,ventilateur,tropical",,
Masque de snorkeling,test,active,false,2,all,6,120,"snorkeling,plage,mer,natation,plongee,tropical",,
Palmes légères,test,active,false,3,adult,16,120,"palmes,plage,mer,natation,plongee,snorkeling",,
Sac étanche waterproof,test,active,false,2,all,0,120,"etanche,waterproof,plage,mer,kayak,protection",,
Tapis de plage sable resistant,test,active,false,3,all,0,120,"plage,mer,sable,confort,ete",,
Sac à dos randonnée 40L,test,active,false,1,adult,16,120,"randonnee,trek,sac-a-dos,montagne,outdoor,backpacking",,
Sac à dos randonnée 20L,test,active,false,2,all,8,120,"randonnee,trek,sac-a-dos,montagne,outdoor,journee",,
Bâtons de randonnée,test,active,false,2,adult,16,120,"randonnee,trek,montagne,batons,outdoor",,
Chaussures de randonnée homme,test,active,false,1,adult,16,120,"randonnee,trek,chaussures,montagne,outdoor,homme",,
Chaussures de randonnée enfant,test,active,false,1,child,4,15,"randonnee,trek,chaussures,montagne,outdoor,enfant",,
Guêtres imperméables,test,active,false,3,adult,16,120,"randonnee,trek,impermeable,montagne,outdoor,boue",,
Poncho de pluie léger,test,active,false,2,all,0,120,"pluie,impermeable,randonnee,outdoor,leger",,
Veste imperméable homme,test,active,false,1,adult,16,120,"pluie,impermeable,randonnee,outdoor,veste,homme",,
Veste imperméable femme,test,active,false,1,adult,16,120,"pluie,impermeable,randonnee,outdoor,veste,femme",,
Pantalon de randonnée convertible homme,test,active,false,2,adult,16,120,"randonnee,trek,pantalon,outdoor,homme,convertible",,
Pantalon de randonnée femme,test,active,false,2,adult,16,120,"randonnee,trek,pantalon,outdoor,femme",,
Boussole de randonnée,test,active,false,3,adult,16,120,"randonnee,trek,boussole,orientation,outdoor,montagne",,
Couverture de survie,test,active,false,2,all,0,120,"securite,randonnee,survie,urgence,outdoor,montagne",,
Adaptateur universel de voyage,test,active,true,1,all,0,120,"adaptateur,electronique,chargeur,universel,tech",,
Power bank 20000mAh,test,active,false,1,all,0,120,"powerbank,batterie,electronique,chargeur,tech",,
Power bank solaire,test,active,false,2,all,0,120,"powerbank,solaire,batterie,electronique,outdoor,randonnee",,
Câble multi USB,test,active,false,2,all,0,120,"cable,electronique,chargeur,tech,usb",,
Casque audio voyage bruit,test,active,false,3,all,8,120,"casque,audio,confort,transport,avion,electronique",,
Serrure TSA valise,test,active,false,2,all,0,120,"cadenas,securite,valise,tsa,bagage",US,
Cadenas valise combinaison,test,active,false,2,all,0,120,"cadenas,securite,valise,bagage",,
Appareil photo compact waterproof,test,active,false,3,all,8,120,"photo,waterproof,electronique,plage,randonnee,mer",,
GoPro / caméra action,test,active,false,3,adult,16,120,"gopro,photo,video,outdoor,randonnee,sport,waterproof",,
Valise cabine rigide,test,active,false,2,all,0,120,"valise,bagage,transport,cabine",,
Sac de voyage pliable,test,active,false,2,all,0,120,"sac-voyage,bagage,transport,pliable,leger",,
Pochette anti-vol ceinture,test,active,false,1,adult,16,120,"securite,anti-vol,pochette,documents,voyage",,
Organiseur de câbles,test,active,false,3,all,0,120,"organisation,cables,electronique,rangement",,
Cubes de rangement bagages set,test,active,false,3,all,0,120,"organisation,rangement,bagage,valise,cubes",,
Porte-documents voyage,test,active,false,2,all,0,120,"documents,organisation,securite,passeport,voyage",,
Étiquettes bagage,test,active,false,3,all,0,120,"bagage,etiquette,organisation,valise",,
Kit hygiène voyage miniatures,test,active,false,2,all,0,120,"hygiene,soin,toilette,miniatures,voyage",,
Pastilles purification eau,test,active,false,2,all,0,120,"eau,purification,sante,outdoor,randonnee,trek,tropical",,
Crème anti-friction,test,active,false,3,all,0,120,"sante,soin,randonnee,confort,friction",,
Médicaments mal des transports,test,active,false,2,all,0,120,"sante,medicaments,transport,avion,bateau,confort",,
Spray désinfectant mains,test,active,false,2,all,0,120,"hygiene,sante,desinfectant,protection",,
Collyre yeux secs voyage,test,active,false,3,adult,16,120,"sante,soin,yeux,avion,confort",,
Coussin de voyage gonflable,test,active,false,3,all,0,120,"confort,transport,avion,train,sommeil",,
Masque de nuit sommeil,test,active,false,3,all,0,120,"confort,sommeil,transport,avion,nuit",,
Bouchons oreilles réutilisables,test,active,false,3,all,0,120,"confort,sommeil,transport,avion,bruit",,
Couverture polaire légère voyage,test,active,false,3,all,0,120,"confort,transport,avion,froid,sommeil,couverture",,
Sac de couchage léger,test,active,false,2,all,0,120,"camping,randonnee,trek,sommeil,outdoor,backpacking",,
Tapis de yoga voyage pliable,test,active,false,3,adult,16,120,"yoga,sport,bien-etre,meditation,confort",,
Corde à sauter sport,test,active,false,3,all,6,120,"sport,fitness,training,cardio,leger",,
Raquette de plage,test,active,false,3,all,6,120,"plage,sport,jeux,ete,mer",,
Masque de ski / snowboard,test,active,false,1,all,6,120,"ski,snowboard,hiver,neige,glisse,montagne",,
Casque de ski adulte,test,active,false,1,adult,16,120,"ski,snowboard,hiver,neige,glisse,securite,casque",,
Casque de ski enfant,test,active,false,1,child,4,15,"ski,snowboard,hiver,neige,glisse,securite,casque,enfant",,
Gilet de sauvetage kayak,test,active,false,1,all,0,120,"kayak,canoe,mer,riviere,securite,sport-eau",,
